ID	LAT	LONG	VAL
1	8.25	77	1
2	8.25	77.25	2
3	8.25	77.5	3
4	8.25	77.75	4
5	8.5	76.75	5
6	8.5	77	6
7	8.5	77.25	7
8	8.5	77.5	8
9	8.5	77.75	9
10	8.5	78	10
11	8.75	76.5	11
12	8.75	76.75	12
13	8.75	77	13
14	8.75	77.25	14
15	8.75	77.5	15
16	8.75	77.75	16
17	8.75	78	17
18	9	76.5	18
19	9	76.75	19
20	9	77	20
21	9	77.25	21
22	9	77.5	22
23	9	77.75	23
24	9	78	24
25	9.25	76.25	25
26	9.25	76.5	26
27	9.25	76.75	27
28	9.25	77	28
29	9.25	77.25	29
30	9.25	77.5	30
31	9.25	77.75	31
32	9.25	78	32
33	9.25	78.25	33
34	9.25	78.5	34
35	9.25	78.75	35
36	9.25	79.25	36
37	9.5	76.25	37
38	9.5	76.5	38
39	9.5	76.75	39
40	9.5	77	40
41	9.5	77.25	41
42	9.5	77.5	42
43	9.5	77.75	43
44	9.5	78	44
45	9.5	78.25	45
46	9.5	78.5	46
47	9.5	78.75	47
48	9.5	79	48
49	9.5	79.25	49
50	9.75	76.25	50
51	9.75	76.5	51
52	9.75	76.75	52
53	9.75	77	53
54	9.75	77.25	54
55	9.75	77.5	55
56	9.75	77.75	56
57	9.75	78	57
58	9.75	78.25	58
59	9.75	78.5	59
60	9.75	78.75	60
61	10	76	61
62	10	76.25	62
63	10	76.5	63
64	10	76.75	64
65	10	77	65
66	10	77.25	66
67	10	77.5	67
68	10	77.75	68
69	10	78	69
70	10	78.25	70
71	10	78.5	71
72	10	78.75	72
73	10	79	73
74	10.25	76	74
75	10.25	76.25	75
76	10.25	76.5	76
77	10.25	76.75	77
78	10.25	77	78
79	10.25	77.25	79
80	10.25	77.5	80
81	10.25	77.75	81
82	10.25	78	82
83	10.25	78.25	83
84	10.25	78.5	84
85	10.25	78.75	85
86	10.25	79	86
87	10.25	79.25	87
88	10.5	76	88
89	10.5	76.25	89
90	10.5	76.5	90
91	10.5	76.75	91
92	10.5	77	92
93	10.5	77.25	93
94	10.5	77.5	94
95	10.5	77.75	95
96	10.5	78	96
97	10.5	78.25	97
98	10.5	78.5	98
99	10.5	78.75	99
100	10.5	79	100
101	10.5	79.25	101
102	10.5	79.5	102
103	10.5	79.75	103
104	10.75	75.75	104
105	10.75	76	105
106	10.75	76.25	106
107	10.75	76.5	107
108	10.75	76.75	108
109	10.75	77	109
110	10.75	77.25	110
111	10.75	77.5	111
112	10.75	77.75	112
113	10.75	78	113
114	10.75	78.25	114
115	10.75	78.5	115
116	10.75	78.75	116
117	10.75	79	117
118	10.75	79.25	118
119	10.75	79.5	119
120	10.75	79.75	120
121	11	75.75	121
122	11	76	122
123	11	76.25	123
124	11	76.5	124
125	11	76.75	125
126	11	77	126
127	11	77.25	127
128	11	77.5	128
129	11	77.75	129
130	11	78	130
131	11	78.25	131
132	11	78.5	132
133	11	78.75	133
134	11	79	134
135	11	79.25	135
136	11	79.5	136
137	11	79.75	137
138	11.25	75.75	138
139	11.25	76	139
140	11.25	76.25	140
141	11.25	76.5	141
142	11.25	76.75	142
143	11.25	77	143
144	11.25	77.25	144
145	11.25	77.5	145
146	11.25	77.75	146
147	11.25	78	147
148	11.25	78.25	148
149	11.25	78.5	149
150	11.25	78.75	150
151	11.25	79	151
152	11.25	79.25	152
153	11.25	79.5	153
154	11.25	79.75	154
155	11.5	75.5	155
156	11.5	75.75	156
157	11.5	76	157
158	11.5	76.25	158
159	11.5	76.5	159
160	11.5	76.75	160
161	11.5	77	161
162	11.5	77.25	162
163	11.5	77.5	163
164	11.5	77.75	164
165	11.5	78	165
166	11.5	78.25	166
167	11.5	78.5	167
168	11.5	78.75	168
169	11.5	79	169
170	11.5	79.25	170
171	11.5	79.5	171
172	11.5	79.75	172
173	11.75	75.25	173
174	11.75	75.5	174
175	11.75	75.75	175
176	11.75	76	176
177	11.75	76.25	177
178	11.75	76.5	178
179	11.75	76.75	179
180	11.75	77	180
181	11.75	77.25	181
182	11.75	77.5	182
183	11.75	77.75	183
184	11.75	78	184
185	11.75	78.25	185
186	11.75	78.5	186
187	11.75	78.75	187
188	11.75	79	188
189	11.75	79.25	189
190	11.75	79.5	190
191	11.75	79.75	191
192	12	75	192
193	12	75.25	193
194	12	75.5	194
195	12	75.75	195
196	12	76	196
197	12	76.25	197
198	12	76.5	198
199	12	76.75	199
200	12	77	200
201	12	77.25	201
202	12	77.5	202
203	12	77.75	203
204	12	78	204
205	12	78.25	205
206	12	78.5	206
207	12	78.75	207
208	12	79	208
209	12	79.25	209
210	12	79.5	210
211	12	79.75	211
212	12.25	75	212
213	12.25	75.25	213
214	12.25	75.5	214
215	12.25	75.75	215
216	12.25	76	216
217	12.25	76.25	217
218	12.25	76.5	218
219	12.25	76.75	219
220	12.25	77	220
